PlantVarietyID,PlantID,PlantVarietyName,PlantVarietyDescription,SoilTextureID,PHRangeID,IngredientNutrientID,OrganicMatterID,SalinityLevelID,ZoneID,HumidityID,WaterRequirementMin,WaterRequirementMax,SoilTexture_SoilTexture,SoilTexture_Description,PHRange_PHRange,PHRange_SoilType,PHRange_Description,OrganicMatter_OrganicMatterContent,OrganicMatter_Description,OrganicMatter_ImportanceToSoilAndPlants,SalinityLevel_SalinityLevel,SalinityLevel_Classification,SalinityLevel_Description,SalinityLevel_ImpactonPlants,Zone_Zone,Zone_TemperatureStartRange,Zone_TemperatureEndRange,Humidity_HumidityLevelLow,Humidity_HumidityLevelHigh,Humidity_Classification,Humidity_Description,Humidity_ImpactonPlants
532,2,Belgian Endive,A leafy vegetable known for its distinctive shape and slightly bitter flavor.,3,3,nan,3,1,19,3,20,ID: 3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
533,3,Tender Sweet,"A very sweet carrot variety that is particularly tender, ideal for fresh eating.",3,4,nan,3,1,17,3,10,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
534,3,Scarlet Nantes,Bright red variety of Nantes carrot known for its sweetness and smooth texture.,2,4,nan,3,1,17,3,2,3,Sandy Loam,"Mostly sand with some silt and clay; better structure than sandy soil, good drainage, moderately fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
535,3,Rainbow Carrots,A mix of carrots in various colors offering different flavors and nutrients.,3,4,nan,3,1,19,3,5,20,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
536,3,Paris Market,"Round and sweet, suitable for small spaces and container gardening.",3,4,nan,3,1,1,3,ID: 1,3,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
537,3,Chantenay Red Core,A specific type of Chantenay with a red core that is exceptionally sweet.,3,3,nan,4,1,17,3,5,10,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
539,3,Bolero,"A hybrid variety known for uniformity and sweetness, excellent for storage.",3,4,nan,4,1,1,3,ID: 5,ID: 5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
540,3,Hokkaido,A Japanese variety that is short and stocky with a very sweet flavor.,3,4,nan,4,1,11,3,ID: 5,ID: 5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
541,3,Nantes Half Long,"Shorter version of Nantes carrots, good for deep containers.",3,5,nan,3,1,11,3,5,2,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Moderate (2% - 4%),"Adequate organic matter levels, common in well-managed agricultural soils.","Improved water retention, better soil structure, increased microbial activity, and moderate nutrient availability.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
542,3,Deep Purple,Rich purple color on the outside with a sweet orange interior.,3,3,nan,4,1,2,3,3,ID: 7,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
543,3,Orange Dragon,Heirloom variety known for vibrant color and sweet flavor.,3,3,nan,4,1,1,3,5,5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",5.6 - 6.0,Moderately Acidic,"Many nutrients remain available, good for certain crops.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
544,3,Viking,Thick and sweet carrot that grows well in poor soil.,1,5,nan,1,1,19,2,5,ID: 5,Sandy Soil,"Large particles, gritty, excellent drainage, poor nutrient retention.",6.6 - 7.3,Neutral,"Optimal for a wide range of plants, nutrient availability is high.",Very Low (< 1%),"Soils with minimal organic matter, typically found in degraded or over-farmed soils.","Poor nutrient availability, reduced soil structure, and low water retention. Minimal support for plant growth.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,30,50,Low,"Somewhat dry, common in transitional climates.",Moderate stress for moisture-sensitive plants; may require supplemental irrigation.
545,3,Autumn King,Late-season variety known for its large size and sweet flavor.,3,4,nan,4,1,25,3,ID: 3,ID: 5,Loamy Soil,"Balanced mix of sand, silt, and clay, well-draining but retains moisture, highly fertile.",6.1 - 6.5,Slightly Acidic,"Ideal for most plants, especially in loamy soils.",High (4% - 6%),"Rich organic content, typical of fertile, healthy soils with good plant growth.","Excellent nutrient availability, high microbial activity, improved soil aeration, and moisture retention.",< 2,Non-Saline,"Very low salinity, ideal for most crops.",No adverse effects on plant growth. Suitable for a wide variety of crops.,,,,50,70,Moderate,Comfortable for most plants; typical for temperate regions.,Generally ideal for most crops and plants; supports healthy growth and development.
